Turtle date,day_since_start,nb of nests ,total turtles /night
19/11/2016,1.00,2,5
20/11/2016,2.00,4,3
21/11/2016,3.00,5,8
22/11/2016,4.00,4,7
23/11/2016,5.00,1,1
24/11/2016,6.00,2,3
25/11/2016,7.00,2,3
26/11/2016,8.00,5,17
27/11/2016,9.00,7,7
28/11/2016,10.00,4,7
29/11/2016,11.00,10,10
30/11/2016,12.00,6,9
1/12/2016,13.00,4,6
2/12/2016,14.00,8,12
3/12/2016,15.00,3,8
4/12/2016,16.00,6,9
5/12/2016,17.00,5,6
6/12/2016,18.00,1,1
7/12/2016,19.00,1,1
8/12/2016,20.00,3,3
9/12/2016,21.00,5,5
10/12/2016,22.00,2,5
11/12/2016,23.00,9,19
12/12/2016,24.00,20,22
13/12/2016,25.00,7,9
14/12/2016,26.00,5,6
15/12/2016,27.00,5,6
16/12/2016,28.00,11,21
17/12/2016,29.00,10,16
,,,
1/02/2017,75.00,2,3
2/02/2017,76.00,0,4
3/02/2017,77.00,0,1
4/02/2017,78.00,0,1
5/02/2017,79.00,2,6
6/02/2017,80.00,2,0
